snapshot_time,competition,event,end_date,moneyline_home_yes_prob,moneyline_home_yes_odds,moneyline_home_no_prob,moneyline_home_no_odds,moneyline_home_volume,moneyline_home_volume_24h,moneyline_home_liquidity,moneyline_home_spread,moneyline_away_yes_prob,moneyline_away_yes_odds,moneyline_away_no_prob,moneyline_away_no_odds,moneyline_away_volume,moneyline_away_volume_24h,moneyline_away_liquidity,moneyline_away_spread,draw_yes_prob,draw_yes_odds,draw_no_prob,draw_no_odds,draw_volume,draw_volume_24h,draw_liquidity,draw_spread,over25_prob,over25_odds,under25_prob,under25_odds,ou25_volume,ou25_volume_24h,ou25_liquidity,ou25_spread,btts_yes_prob,btts_yes_odds,btts_no_prob,btts_no_odds,btts_volume,btts_volume_24h,btts_liquidity,btts_spread,url
2026-06-09T06:22:18.362476+00:00,fifa world cup,Ghana vs. Panama,2026-06-17T23:00:00Z,0.465,2.15,0.535,1.87,10541.197884000005,192.76486199999997,76940.6027,0.01,0.265,3.77,0.735,1.36,12086.946470000017,1186.942823,55918.1178,0.01,0.275,3.64,0.725,1.38,2668.8144610000027,175.56427599999995,57755.9676,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-gha-pan-2026-06-17
2026-06-09T06:22:18.362476+00:00,fifa world cup,Uzbekistan vs. Colombia,2026-06-18T02:00:00Z,0.105,9.52,0.895,1.12,10179.780400999998,1145.810195,45933.1382,0.01,0.695,1.44,0.305,3.28,7892.352479000011,603.6104269999998,46405.5172,0.01,0.205,4.88,0.795,1.26,2690.3655679999997,132.843806,44111.6866,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-uzb-col-2026-06-17
2026-06-09T06:22:18.362476+00:00,fifa world cup,Czechia vs. South Africa,2026-06-18T16:00:00Z,0.495,2.02,0.505,1.98,3755.6638100000055,178.46392,35754.3977,0.01,0.225,4.44,0.775,1.29,1672.0604460000002,390.27781400000003,33061.7951,0.01,0.285,3.51,0.715,1.4,440.76063100000016,126.18724,32697.6655,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-cze-rsa-2026-06-18
2026-06-09T06:22:18.362476+00:00,fifa world cup,Switzerland vs. Bosnia and Herzegovina,2026-06-18T19:00:00Z,0.595,1.68,0.405,2.47,6202.334936999982,3075.109907000004,26038.7062,0.01,0.165,6.06,0.835,1.2,2916.742559000001,188.308121,31677.0763,0.01,0.235,4.26,0.765,1.31,1399.6367489999998,23.625,28702.8321,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-che-bih-2026-06-18
2026-06-09T06:22:18.362476+00:00,fifa world cup,Canada vs. Qatar,2026-06-18T22:00:00Z,0.745,1.34,0.255,3.92,7358.584190999998,171.839984,28896.4218,0.01,0.085,11.76,0.915,1.09,7406.827070999994,385.512495,65181.4248,0.01,0.175,5.71,0.825,1.21,1613.1332660000005,178.61999999999998,26964.807,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-can-qat-2026-06-18
2026-06-09T06:22:18.362476+00:00,fifa world cup,Mexico vs. Korea Republic,2026-06-19T01:00:00Z,0.535,1.87,0.465,2.15,4599.589728999998,1424.650169,25944.0696,0.01,0.205,4.88,0.795,1.26,5560.141652999999,458.022998,30462.0367,0.01,0.265,3.77,0.735,1.36,3023.3773690000003,1530.8011099999999,31465.1753,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-mex-kr-2026-06-18
2026-06-09T06:22:18.362476+00:00,fifa world cup,United States vs. Australia,2026-06-19T19:00:00Z,0.555,1.8,0.445,2.25,6433.859783000019,463.16426499999994,53836.6419,0.01,0.205,4.88,0.795,1.26,29531.393429000014,625.615233,34682.0967,0.01,0.245,4.08,0.755,1.32,2055.4282390000003,332.988367,25374.641,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-usa-aus-2026-06-19
2026-06-09T06:22:18.362476+00:00,fifa world cup,Scotland vs. Morocco,2026-06-19T22:00:00Z,0.225,4.44,0.775,1.29,1590.6557210000008,137.217381,29364.7579,0.01,0.495,2.02,0.505,1.98,10099.241628000016,743.885479,27583.7216,0.01,0.285,3.51,0.715,1.4,2142.1246210000004,126.434826,25321.566,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-sco-mar-2026-06-19
2026-06-09T06:22:18.362476+00:00,fifa world cup,Brazil vs. Haiti,2026-06-20T00:30:00Z,0.915,1.09,0.085,11.76,11292.928648000005,254.623903,19271.3476,0.01,0.0325,30.77,0.9675,1.03,46100.67683899995,1629.344548,22273.17988,0.003,0.063,15.87,0.937,1.07,7575.265867000001,778.888496,18152.09662,0.002,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-bra-hai-2026-06-19
2026-06-09T06:22:18.362476+00:00,fifa world cup,Türkiye vs. Paraguay,2026-06-20T03:00:00Z,0.435,2.3,0.565,1.77,4150.776819000006,1011.5991670000002,28980.8205,0.01,0.275,3.64,0.725,1.38,1028.2558599999998,47.069995,24067.8609,0.01,0.305,3.28,0.695,1.44,1119.9892380000003,287.544279,30630.2804,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-tur-par-2026-06-19
